"Ticker","Nome","Negócios","Última (R$)","Variação"
"UCAS3","Unicasa","260.900","2,52","-4,91%"
"LUPA3","Lupatech","255.000","1,70","-2,30%"
"LOGG3","LOG CP","253.500","22,96","+3,19%"
"PFRM3","Profarma","252.200","5,53","+3,17%"
"SANB4","Banco Santander","241.600","14,56","+1,04%"
"LEVE3","Mahle Metal Leve","238.900","35,23","+1,00%"
"BLAU3","Blau Farmacêutica","234.600","12,00","-0,83%"
"KLBN3","Klabin","217.900","5,00","+0,20%"
"SANB3","Banco Santander","213.700","12,93","+0,62%"
"AGRO3","BrasilAgro","212.000","25,18","+0,76%"
"PNVL3","Dimed","211.600","12,06","+1,34%"
"CSED3","Cruzeiro do Sul Educacional","208.300","4,36","-0,68%"
"DASA3","Dasa","207.500","5,35","-1,47%"
"SHOW3","Time For Fun","207.300","2,76","-1,08%"
"SOJA3","Boa Safra Sementes","204.200","16,69","-1,24%"
"CMIG3","CEMIG","199.200","15,16","+0,40%"
"TASA4","Taurus","193.100","12,91","-0,77%"
"TECN3","Technos","187.300","4,37","+1,86%"
"FIQE3","Unifique","186.300","4,00","+0,25%"
"ETER3","Eternit","181.900","7,36","-2,52%"
"SAPR3","Sanepar","175.400","4,89","-0,20%"
"BMOB3","Bemobi","157.900","13,17","+0,15%"
"MELK3","Melnick","153.500","4,89","+0,20%"
"UNIP6","Unipar","143.000","64,31","-0,77%"
"DMVF3","D1000 Varejo Farma","137.700","6,78","+1,04%"
"TFCO4","Track & Field","128.200","11,97","+0,67%"
"AALR3","Alliança","126.300","10,07","+1,10%"
"ROMI3","Indústrias ROMI","125.700","12,35","-0,40%"
"FRAS3","Fras-le","118.500","17,77","-1,11%"
"TGMA3","Tegma","116.600","26,57","-0,30%"
"ITSA3","Itaúsa","115.800","9,99","-0,30%"
"BIOM3","Biomm","98.900","10,15","-0,29%"
"INEP3","Inepar","97.100","3,81","+1,60%"
"TCSA3","Tecnisa","97.100","2,73","-2,50%"
"SGPS3","Springs","95.600","0,79","-1,25%"
"DESK3","Desktop","91.400","14,78","-2,31%"
"TAEE4","Taesa","85.200","12,22","+0,41%"
"ALPK3","Estapar","84.500","4,64","-0,85%"
"BRAP3","Bradespar","84.400","20,26","-0,20%"
"JFEN3","João Fortes","72.300","1,81","+0,00%"
"LAND3","Terra Santa","66.300","14,54","-1,09%"
"EUCA4","Eucatex","65.400","17,36","+3,77%"
"RNEW4","Renova Energia","53.500","1,12","+0,00%"
"TAEE3","Taesa","51.800","12,11","+0,67%"
"DEXP3","Dexxos","44.900","11,50","+1,32%"
"IGTI3","Jereissati Participações","43.500","3,19","-1,24%"
"IGTI3","Iguatemi","43.500","3,19","-1,24%"
"LPSB3","Lopes","43.200","2,12","-0,93%"
"VIVR3","Viver","42.900","3,05","-1,29%"
"ELMD3","Eletromidia","42.600","18,60","+0,54%"
"RSID3","Rossi Residencial","41.300","4,14","+0,98%"
"CSUD3","CSU Cardsystem","39.700","19,25","-1,03%"
"LOGN3","Log-In","38.000","37,80","+3,85%"
"INEP4","Inepar","36.900","3,18","+2,25%"
"PDTC3","Padtec","36.200","2,48","-1,20%"
"PMAM3","Paranapanema","32.800","3,00","-0,33%"
"RNEW3","Renova Energia","29.900","1,14","+0,00%"
"CAMB3","Cambuci","26.200","10,97","-0,18%"
"ALUP4","Alupar","25.700","9,94","+0,10%"
"BOBR4","Bombril","25.500","2,15","+0,00%"
"GGBR3","Gerdau","24.500","20,41","-0,54%"
"MWET4","Wetzel","22.700","5,57","-2,96%"
"DOTZ3","Dotz","21.200","5,88","+6,52%"
"HOOT4","Hotéis Othon","20.800","2,79","-0,36%"
"ATOM3","ATOM","20.800","2,00","-0,99%"
"CGRA4","Grazziotin","20.100","28,30","+1,18%"
"OIBR4","Oi","18.600","1,83","-1,08%"
"EMAE4","EMAE","18.300","77,00","-1,91%"
